ride_id,driver_id,distance_km,fare_usd,ride_type,city,timestamp
1,1025,23.27,55.84,pool,Toronto,2025-01-01 00:00:00
2,1016,14.1,17.81,pool,Lima,2025-01-01 00:01:00
3,1027,23.11,41.9,standard,Toronto,2025-01-01 00:02:00
4,1017,19.65,16.64,pool,Toronto,2025-01-01 00:03:00
5,1013,13.99,60.55,standard,Lima,2025-01-01 00:04:00
6,1012,21.59,19.72,pool,Toronto,2025-01-01 00:05:00
7,1033,18.53,58.95,standard,Seoul,2025-01-01 00:06:00
8,1007,1.46,36.12,standard,Berlin,2025-01-01 00:07:00
9,1018,14.52,57.44,premium,Toronto,2025-01-01 00:08:00
10,1024,26.58,30.13,pool,Toronto,2025-01-01 00:09:00
11,1045,23.63,72.55,premium,Toronto,2025-01-01 00:10:00
12,1028,19.99,40.19,premium,Lima,2025-01-01 00:11:00
13,1048,19.03,33.43,standard,Berlin,2025-01-01 00:12:00
14,1032,24.68,34.04,standard,Lima,2025-01-01 00:13:00
15,1045,9.45,26.29,pool,Toronto,2025-01-01 00:14:00
16,1044,12.43,52.04,pool,Seoul,2025-01-01 00:15:00
17,1004,19.29,17.17,premium,Nairobi,2025-01-01 00:16:00
18,1034,24.81,15.79,pool,Berlin,2025-01-01 00:17:00
19,1012,10.32,72.46,pool,Berlin,2025-01-01 00:18:00
20,1001,5.89,19.69,standard,Lima,2025-01-01 00:19:00
21,1010,8.9,61.74,pool,Toronto,2025-01-01 00:20:00
22,1037,13.73,10.81,pool,Toronto,2025-01-01 00:21:00
23,1039,3.86,46.61,standard,Seoul,2025-01-01 00:22:00
24,1020,19.22,12.38,standard,Seoul,2025-01-01 00:23:00
25,1017,27.0,30.23,pool,Nairobi,2025-01-01 00:24:00
26,1027,10.92,28.4,pool,Toronto,2025-01-01 00:25:00
27,1024,28.73,47.91,premium,Seoul,2025-01-01 00:26:00
28,1017,13.17,5.28,pool,Nairobi,2025-01-01 00:27:00
29,1003,16.54,24.38,pool,Seoul,2025-01-01 00:28:00
30,1006,29.33,58.3,pool,Seoul,2025-01-01 00:29:00
31,1043,21.59,58.12,standard,Nairobi,2025-01-01 00:30:00
32,1050,15.66,60.28,pool,Nairobi,2025-01-01 00:31:00
33,1050,22.88,45.38,premium,Lima,2025-01-01 00:32:00
34,1000,14.73,57.8,pool,Berlin,2025-01-01 00:33:00
35,1015,21.93,35.44,pool,Toronto,2025-01-01 00:34:00
36,1032,7.45,27.07,premium,Lima,2025-01-01 00:35:00
37,1023,3.23,61.82,premium,Nairobi,2025-01-01 00:36:00
38,1027,18.38,32.79,premium,Seoul,2025-01-01 00:37:00
39,1006,16.19,14.28,pool,Nairobi,2025-01-01 00:38:00
40,1025,14.36,71.87,premium,Lima,2025-01-01 00:39:00
41,1043,4.41,14.0,premium,Berlin,2025-01-01 00:40:00
42,1010,28.1,58.68,pool,Berlin,2025-01-01 00:41:00
43,1027,4.24,19.61,standard,Berlin,2025-01-01 00:42:00
44,1044,29.06,65.09,premium,Nairobi,2025-01-01 00:43:00
45,1014,10.23,48.69,pool,Lima,2025-01-01 00:44:00
46,1007,9.17,71.07,standard,Berlin,2025-01-01 00:45:00
47,1015,28.26,47.24,standard,Seoul,2025-01-01 00:46:00
48,1000,28.86,63.95,pool,Berlin,2025-01-01 00:47:00
49,1040,21.32,39.71,premium,Toronto,2025-01-01 00:48:00
50,1048,28.7,67.31,standard,Nairobi,2025-01-01 00:49:00
51,1027,6.07,33.62,premium,Berlin,2025-01-01 00:50:00
52,1031,25.84,69.98,premium,Berlin,2025-01-01 00:51:00
53,1005,18.93,50.24,pool,Berlin,2025-01-01 00:52:00
54,1007,9.57,69.43,pool,Toronto,2025-01-01 00:53:00
55,1050,18.3,8.0,pool,Lima,2025-01-01 00:54:00
56,1035,4.17,30.55,pool,Seoul,2025-01-01 00:55:00
57,1001,23.97,68.12,pool,Lima,2025-01-01 00:56:00
58,1048,19.61,23.75,standard,Toronto,2025-01-01 00:57:00
59,1003,4.1,43.05,pool,Lima,2025-01-01 00:58:00
60,1008,7.37,34.37,premium,Nairobi,2025-01-01 00:59:00
61,1023,9.46,5.7,standard,Lima,2025-01-01 01:00:00
62,1017,14.74,7.89,pool,Nairobi,2025-01-01 01:01:00
63,1004,7.69,39.32,premium,Seoul,2025-01-01 01:02:00
64,1008,9.63,31.48,standard,Toronto,2025-01-01 01:03:00
65,1050,16.99,67.14,pool,Berlin,2025-01-01 01:04:00
66,1032,5.26,27.91,pool,Toronto,2025-01-01 01:05:00
67,1014,22.85,16.04,standard,Lima,2025-01-01 01:06:00
68,1019,14.07,13.38,pool,Seoul,2025-01-01 01:07:00
69,1025,12.81,33.78,pool,Lima,2025-01-01 01:08:00
70,1026,17.63,73.94,standard,Berlin,2025-01-01 01:09:00
71,1038,5.57,67.82,pool,Lima,2025-01-01 01:10:00
72,1017,26.85,42.47,standard,Nairobi,2025-01-01 01:11:00
73,1043,4.34,41.36,standard,Lima,2025-01-01 01:12:00
74,1018,16.87,48.47,premium,Berlin,2025-01-01 01:13:00
75,1048,28.98,57.02,pool,Seoul,2025-01-01 01:14:00
76,1010,5.04,8.92,pool,Seoul,2025-01-01 01:15:00
77,1047,21.27,70.67,standard,Lima,2025-01-01 01:16:00
78,1046,29.28,66.26,premium,Toronto,2025-01-01 01:17:00
79,1032,29.88,37.69,standard,Lima,2025-01-01 01:18:00
80,1044,11.08,28.63,standard,Nairobi,2025-01-01 01:19:00
81,1040,19.15,42.13,premium,Seoul,2025-01-01 01:20:00
82,1008,28.33,40.27,pool,Nairobi,2025-01-01 01:21:00
83,1004,19.11,27.23,pool,Seoul,2025-01-01 01:22:00
84,1033,26.31,13.74,premium,Lima,2025-01-01 01:23:00
85,1001,21.23,55.78,pool,Nairobi,2025-01-01 01:24:00
86,1031,2.07,67.3,pool,Berlin,2025-01-01 01:25:00
87,1041,11.02,50.5,premium,Berlin,2025-01-01 01:26:00
88,1011,26.92,25.32,premium,Seoul,2025-01-01 01:27:00
89,1034,14.6,35.57,standard,Seoul,2025-01-01 01:28:00
90,1008,13.59,18.14,standard,Seoul,2025-01-01 01:29:00
91,1019,9.84,70.59,standard,Lima,2025-01-01 01:30:00
92,1032,5.63,22.54,premium,Berlin,2025-01-01 01:31:00
93,1020,20.4,29.69,premium,Seoul,2025-01-01 01:32:00
94,1050,12.46,50.35,pool,Seoul,2025-01-01 01:33:00
95,1018,26.58,56.57,pool,Lima,2025-01-01 01:34:00
96,1045,2.25,36.58,pool,Nairobi,2025-01-01 01:35:00
97,1008,26.36,14.63,standard,Berlin,2025-01-01 01:36:00
98,1038,3.68,33.7,pool,Nairobi,2025-01-01 01:37:00
99,1039,24.88,62.16,premium,Toronto,2025-01-01 01:38:00
